Sub_ID,vol2_likely,vol2_tm1,vol2_tm2,vol2_tm3,vol2_sm1,vol2_sm2,vol2_sm3,vol2_diff,vol2_conf,vol5_likely,vol5_tm1,vol5_tm2,vol5_tm3,vol5_sm1,vol5_sm2,vol5_sm3,vol5_diff,vol5_conf,vol6_likely,vol6_tm1,vol6_tm2,vol6_tm3,vol6_sm1,vol6_sm2,vol6_sm3,vol6_diff,vol6_conf,vol7_likely,vol7_tm1,vol7_tm2,vol7_tm3,vol7_sm1,vol7_sm2,vol7_sm3,vol7_diff,vol7_conf,vol13_likely,vol13_tm1,vol13_tm2,vol13_tm3,vol13_sm1,vol13_sm2,vol13_sm3,vol13_diff,vol13_conf,vol16_likely,vol16_tm1,vol16_tm2,vol16_tm3,vol16_sm1,vol16_sm2,vol16_sm3,vol16_diff,vol16_conf,vol18_likely,vol18_tm1,vol18_tm2,vol18_tm3,vol18_sm1,vol18_sm2,vol18_sm3,vol18_diff,vol18_conf,vol19_likely,vol19_tm1,vol19_tm2,vol19_tm3,vol19_sm1,vol19_sm2,vol19_sm3,vol19_diff,vol19_conf,vol20_likely,vol20_tm1,vol20_tm2,vol20_tm3,vol20_sm1,vol20_sm2,vol20_sm3,vol20_diff,vol20_conf,vol22_likely,vol22_tm1,vol22_tm2,vol22_tm3,vol22_sm1,vol22_sm2,vol22_sm3,vol22_diff,vol22_conf,age
21,2,4,4,2,2,3,3,4,3,3,3,3,3,3,3,3,4,3,4,2,3,3,3,3,3,4,3,4,2,2,2,3,3,3,4,3,3,2,2,2,2,2,3,4,3,3,3,3,3,3,3,3,4,3,4,2,2,3,3,3,3,4,3,4,2,2,2,4,2,4,2,4,4,2,2,2,4,4,2,2,5,3,3,3,3,3,3,3,4,3,23
22,3,1,2,2,1,3,3,3,4,1,1,1,1,1,1,4,6,1,1,3,2,2,2,1,5,6,2,2,4,4,4,4,3,3,3,3,1,1,1,1,1,1,5,6,1,2,4,4,3,3,3,4,6,2,2,3,3,4,1,2,4,3,3,2,4,4,4,4,2,3,6,2,1,3,3,3,2,1,4,6,2,1,3,3,3,3,2,4,6,2,29
23,1,2,2,2,1,1,4,4,1,2,3,2,2,1,1,4,3,3,2,3,2,3,3,2,4,4,3,3,5,4,4,4,3,2,3,4,1,2,2,2,2,1,5,6,1,2,4,5,5,4,2,5,6,1,4,5,3,4,2,3,4,4,3,2,4,4,4,3,2,4,4,1,3,4,3,4,3,3,2,3,4,2,4,2,2,1,1,4,3,2,45
24,1,1,2,2,2,1,5,6,1,1,2,2,2,2,1,4,3,2,1,3,3,3,4,2,4,6,2,5,5,5,5,5,5,13,6,4,1,1,2,2,2,1,5,6,1,3,4,4,4,4,2,4,6,2,1,2,2,2,2,1,5,9,1,5,5,5,5,5,5,2,6,4,5,3,3,3,5,4,4,6,3,3,3,2,3,3,2,4,3,2,39
25,1,2,2,2,2,1,4,4,2,2,2,2,2,3,3,3,3,3,1,3,3,2,3,3,4,4,2,3,3,3,4,4,3,2,6,3,1,2,2,2,2,1,4,4,2,2,4,4,4,4,4,2,6,4,4,3,4,4,2,2,2,6,4,4,3,3,3,4,4,2,3,4,1,3,3,3,3,1,4,3,3,1,3,2,3,2,2,3,3,3,47
26,1,1,1,1,1,1,5,4,3,3,2,3,3,3,2,4,3,4,4,4,4,5,4,3,2,3,5,5,5,5,4,5,4,13,6,4,1,1,2,2,3,1,5,6,1,3,4,5,5,5,1,2,8,1,5,5,5,4,4,3,2,8,4,4,4,4,4,5,3,2,6,3,4,3,3,3,4,2,3,4,4,4,4,4,4,5,3,2,4,3,24
27,5,1,1,1,1,2,5,1,5,4,3,2,5,3,3,2,3,3,4,5,5,5,5,4,13,3,3,4,4,3,4,4,3,13,3,3,1,1,1,1,1,1,5,3,3,4,5,5,5,5,2,13,6,2,4,4,3,5,3,5,2,8,3,4,5,4,4,5,5,13,6,2,5,5,5,5,5,5,13,2,5,5,5,5,5,5,5,13,6,3,23
28,2,2,2,3,3,2,4,2,3,2,4,2,3,3,3,4,3,4,2,4,3,3,4,2,4,3,4,4,3,3,4,4,2,3,3,4,1,3,3,4,4,2,4,6,2,3,5,4,4,5,3,2,4,3,3,3,3,4,3,2,3,4,3,4,4,4,4,5,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,4,4,2,3,3,3,36
29,4,1,2,2,3,3,2,2,4,4,2,4,4,5,5,13,1,4,2,3,3,3,2,2,4,8,2,4,4,4,4,4,4,2,3,3,4,2,3,4,3,2,4,8,2,1,5,5,5,2,2,4,9,1,4,3,4,3,3,4,2,3,4,4,4,4,3,3,3,3,6,2,4,4,4,4,4,4,2,3,3,1,5,5,5,5,5,13,1,4,33
30,1,2,2,2,2,1,5,6,1,1,2,2,2,1,1,5,2,2,2,3,3,3,4,3,3,2,4,1,4,4,4,3,3,3,6,3,2,2,3,3,3,1,5,6,1,1,4,4,4,4,1,4,6,1,2,2,2,2,2,2,3,4,3,1,3,3,3,4,2,3,4,3,2,3,3,3,3,2,3,3,3,1,4,3,4,3,2,3,4,3,38
31,2,2,3,4,2,2,2,6,2,2,2,2,4,4,2,2,2,4,2,3,3,4,3,2,2,2,4,2,4,4,4,4,4,2,8,4,2,2,3,4,4,2,2,6,4,2,4,5,4,4,4,2,6,4,2,4,4,4,2,4,2,6,4,2,2,4,4,4,2,2,2,4,2,2,4,4,4,2,2,2,4,2,4,4,4,4,2,2,3,4,39
